posterId,wordId
208,265
208,31
209,17
209,20
209,15
209,104
209,105
210,17
210,266
210,1
210,267
210,8
212,42
212,268
212,11
213,34
213,105
213,22
213,145
213,20
214,17
214,1
214,204
214,87
214,135
214,71
214,44
217,1
217,165
217,269
217,34
221,270
221,271
222,34
222,31
222,219
222,20
224,17
224,21
224,272
224,44
224,34
225,10
225,4
225,273
226,17
226,274
226,1
227,4
227,53
227,84
227,20
227,2
228,17
228,275
229,104
229,105
229,20
229,15
229,276
230,136
230,12
230,137
231,17
231,1
231,132
231,45
231,34
233,1
233,78
233,91
234,277
234,44
234,50
235,278
235,103
236,3
236,22
236,34
237,53
237,55
237,10
237,134
238,17
238,1
238,279
238,8
238,280
238,263
239,281
239,44
239,12
240,1
240,78
240,5
240,282
241,283
241,188
241,3
241,98
242,1
242,210
242,17
242,284
243,180
243,285
243,3
244,44
244,286
244,11
245,1
245,22
246,287
246,164
246,225
247,1
247,165
247,15
247,288
247,289
247,290
248,291
248,136
248,10
249,44
249,292
249,287
249,104
249,105
250,44
250,12
250,293
250,294
250,160
251,1
251,5
251,254
251,3
252,15
252,20
252,295
253,1
253,296
253,15
253,225
253,297
254,3
254,59
256,278
256,38
256,164
257,20
257,134
257,3
257,124
258,17
258,10
258,298
259,299
259,50
259,11
259,236
260,1
260,244
260,93
260,15
260,191
260,82
260,259
261,1
261,108
261,22
261,3
262,1
262,21
262,188
263,300
263,297
263,145
264,1
264,164
264,3
265,38
265,296
265,301
265,302
265,303
266,164
266,38
266,223
267,17
267,29
267,6
268,304
268,45
268,43
270,17
270,21
270,305
270,306
270,19
271,21
271,307
272,21
272,308
272,127
273,17
273,21
273,309
274,21
274,225
275,17
275,21
275,310
277,21
277,17
277,311
278,21
278,258
278,295
282,50
282,154
282,63
283,171
283,259
283,20
283,312
283,313
284,171
284,172
284,314
284,315
284,115
285,17
285,316
285,197
285,301
285,317
286,17
286,316
286,318
287,20
287,34
287,104
288,17
288,315
288,319
288,38
288,34
289,315
289,320
289,321
289,34
297,17
297,322
297,146
298,323
298,146
298,324
298,191
298,325
301,103
303,1
303,164
303,38
305,46
305,76
305,50
305,10
308,53
308,20
308,44
308,326
309,53
309,20
309,44
309,100
310,20
310,44
310,167
310,115
311,167
311,38
311,233
312,20
312,262
312,327
312,44
313,20
313,38
313,213
313,44
314,53
315,46
315,56
315,57
315,38
315,4
322,69
322,17
322,165
322,61
325,297
325,300
325,44
325,48
327,1
327,244
328,19
328,146
328,328
328,217
329,146
329,324
329,3
329,284
330,17
330,1
330,329
330,330
331,1
331,165
331,34
331,104
331,105
332,20
332,17
332,21
332,69
332,329
332,331
333,17
333,204
333,146
333,219
333,332
334,17
334,127
334,333
334,146
334,334
335,1
335,283
335,92
336,1
336,146
336,335
337,17
337,127
337,333
337,188
338,1
338,336
338,337
339,1
339,147
340,1
340,147
340,92
340,338
341,1
341,339
341,340
341,5
342,341
342,332
342,219
344,1
344,13
344,5
344,7
345,20
345,17
345,342
345,343
345,344
345,345
346,33
346,15
346,105
349,172
349,346
349,347
350,1
350,146
350,324
350,244
351,346
351,348
352,145
352,349
352,31
352,350
352,351
353,20
353,352
353,353
354,333
354,183
