posterId,wordId
190,261
190,262
190,108
190,109
190,119
191,95
191,14
191,195
192,1
192,164
192,107
193,76
193,263
193,264
194,39
194,265
194,134
195,39
195,9
197,1
197,164
197,207
197,108
197,109
198,1
198,95
198,47
198,266
208,144
208,107
208,104
208,113
208,267
208,32
209,16
209,19
209,14
209,108
209,109
210,16
210,268
210,1
210,269
210,7
212,43
212,270
212,52
212,10
213,35
213,109
213,21
213,144
213,19
214,16
214,1
214,208
214,89
214,133
214,71
214,45
217,1
217,164
217,271
217,35
221,272
221,112
221,273
222,35
222,32
222,211
222,19
224,16
224,20
224,274
224,45
224,35
225,9
225,4
225,275
226,16
226,276
226,1
226,5
227,4
227,54
227,19
227,2
228,16
228,277
228,54
228,5
229,108
229,109
229,19
229,14
229,278
230,134
230,11
230,135
231,16
231,1
231,130
231,46
231,35
233,1
233,79
233,93
234,279
234,45
234,52
235,280
235,107
236,3
236,21
236,35
237,54
237,25
237,9
237,132
238,16
238,1
238,281
238,7
238,282
238,266
239,283
239,45
239,11
240,1
240,79
240,284
241,285
241,192
241,3
241,102
242,1
242,216
242,16
242,286
243,182
243,287
243,3
244,45
244,288
244,10
245,1
245,21
246,68
246,163
246,67
247,1
247,164
247,14
247,289
247,290
247,291
248,292
248,134
248,9
249,45
249,293
249,68
249,108
249,109
250,45
250,11
250,294
250,295
250,159
251,1
251,258
251,3
252,14
252,19
252,109
253,1
253,296
253,14
253,67
253,297
254,3
254,57
254,183
256,280
256,39
256,163
257,19
257,132
257,3
258,16
258,9
258,298
259,235
259,29
259,52
259,10
259,238
260,1
260,83
260,95
260,14
260,195
260,85
260,262
261,1
261,113
261,21
261,3
262,1
262,20
262,192
263,299
263,297
263,144
264,1
264,163
264,3
265,39
265,296
265,300
265,301
265,302
266,163
266,39
266,227
267,16
267,30
267,5
268,303
268,46
268,44
270,16
270,20
270,304
270,305
270,18
271,20
271,306
272,20
272,307
272,126
273,16
273,20
273,308
274,20
274,67
275,16
275,20
275,309
277,20
277,16
277,310
278,20
278,261
278,109
282,52
282,153
282,61
283,171
283,262
283,19
283,311
283,312
284,171
284,172
284,313
284,314
284,119
285,16
285,315
285,201
285,300
285,316
286,16
286,315
286,317
287,19
287,35
287,108
288,16
288,314
288,318
288,39
288,35
289,314
289,319
289,25
289,29
289,35
297,16
297,320
297,145
298,321
298,96
298,145
298,195
298,322
301,107
303,1
303,163
303,39
305,47
305,77
305,52
305,9
308,54
308,19
308,45
308,323
309,54
309,19
309,45
309,104
310,19
310,45
310,166
310,119
311,166
311,39
311,235
312,19
312,265
312,324
312,45
313,19
313,39
313,220
313,45
314,54
315,47
315,55
315,56
315,39
315,4
322,69
322,16
322,164
322,59
325,297
325,299
325,45
325,50
327,1
327,83
327,109
327,145
328,18
328,145
328,325
328,224
329,145
329,321
329,3
329,286
330,16
330,1
330,326
330,52
331,1
331,164
331,35
331,108
331,109
332,19
332,16
332,20
332,69
332,326
332,327
333,16
333,208
333,145
333,211
333,328
334,16
334,126
334,329
334,145
334,330
335,1
335,285
335,94
336,1
336,145
336,331
336,332
337,16
337,126
337,329
337,192
338,1
338,331
338,333
339,1
339,146
340,1
340,146
340,94
340,334
